CODIGO_DISTRITAL,NOMBRE,COD,PADRE,,,,,,INSERT PROVINCIA
1,San José,P,0,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES(1,'San José');",,,,,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES"
101,San José,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,101,'San José');",,,,,
10101,Carmen,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10101,'Carmen');",,,,,INSERT CANTON
10102,Merced,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10102,'Merced');",,,,,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES"
10103,Hospital,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10103,'Hospital');",,,,,
10104,Catedral,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10104,'Catedral');",,,,,INSERT DISTRITO
10105,Zapote,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10105,'Zapote');",,,,,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES"
10106,San Francisco de Dos Ríos,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10106,'San Francisco de Dos Ríos');",,,,,
10107,Uruca,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10107,'Uruca');",,,,,
10108,Mata Redonda,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10108,'Mata Redonda');",,,,,
10109,Pavas,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10109,'Pavas');",,,,,
10110,Hatillo,D,101,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(101,10110,'Hatillo');",,,,,
